"Date","Event","City","State","Country","Winner","Loser","WeightClass","Round","Method"
2021-03-06,"UFC 259: Blachowicz vs. Adesanya","Las Vegas","Nevada","USA","Jan Blachowicz","Israel Adesanya","Light Heavyweight",5,"U-DEC"
2021-03-06,"UFC 259: Blachowicz vs. Adesanya","Las Vegas","Nevada","USA","Amanda Nunes","Megan Anderson","Women's Featherweight",1,"SUB"
2021-03-06,"UFC 259: Blachowicz vs. Adesanya","Las Vegas","Nevada","USA","Aljamain Sterling","Petr Yan","Bantamweight",4,"DQ"
2021-03-06,"UFC 259: Blachowicz vs. Adesanya","Las Vegas","Nevada","USA","Islam Makhachev","Drew Dober","Lightweight",3,"SUB"
2021-03-06,"UFC 259: Blachowicz vs. Adesanya","Las Vegas","Nevada","USA","Aleksandar Rakic","Thiago Santos","Light Heavyweight",3,"U-DEC"
2021-03-06,"UFC 259: Blachowicz vs. Adesanya","Las Vegas","Nevada","USA","Dominick Cruz","Casey Kenney","Bantamweight",3,"S-DEC"
2021-03-06,"UFC 259: Blachowicz vs. Adesanya","Las Vegas","Nevada","USA","Kyler Phillips","Yadong Song","Bantamweight",3,"U-DEC"
2021-03-06,"UFC 259: Blachowicz vs. Adesanya","Las Vegas","Nevada","USA","Askar Askarov","Joseph Benavidez","Flyweight",3,"U-DEC"
2021-03-06,"UFC 259: Blachowicz vs. Adesanya","Las Vegas","Nevada","USA","Kai Kara-France","Rogerio Bontorin","Flyweight",1,"KO/TKO"
2021-03-06,"UFC 259: Blachowicz vs. Adesanya","Las Vegas","Nevada","USA","Tim Elliott","Jordan Espinosa","Flyweight",3,"U-DEC"
2021-03-06,"UFC 259: Blachowicz vs. Adesanya","Las Vegas","Nevada","USA","Kennedy Nzechukwu","Carlos Ulberg","Light Heavyweight",2,"KO/TKO"
2021-03-06,"UFC 259: Blachowicz vs. Adesanya","Las Vegas","Nevada","USA","Sean Brady","Jake Matthews","Welterweight",3,"SUB"
2021-03-06,"UFC 259: Blachowicz vs. Adesanya","Las Vegas","Nevada","USA","Amanda Lemos","Livinha Souza","Women's Strawweight",1,"KO/TKO"
2021-03-06,"UFC 259: Blachowicz vs. Adesanya","Las Vegas","Nevada","USA","Uros Medic","Aalon Cruz","Lightweight",1,"KO/TKO"
2021-03-06,"UFC 259: Blachowicz vs. Adesanya","Las Vegas","Nevada","USA","Trevin Jones","Mario Bautista","Bantamweight",2,"KO/TKO"
2021-02-27,"UFC Fight Night: Rozenstruik vs. Gane","Las Vegas","Nevada","USA","Ciryl Gane","Jairzinho Rozenstruik","Heavyweight",5,"U-DEC"
2021-02-27,"UFC Fight Night: Rozenstruik vs. Gane","Las Vegas","Nevada","USA","Magomed Ankalaev","Nikita Krylov","Light Heavyweight",3,"U-DEC"
2021-02-27,"UFC Fight Night: Rozenstruik vs. Gane","Las Vegas","Nevada","USA","Montana De La Rosa","Mayra Bueno Silva","Women's Flyweight",3,"M-DEC"
2021-02-27,"UFC Fight Night: Rozenstruik vs. Gane","Las Vegas","Nevada","USA","Pedro Munhoz","Jimmie Rivera","Bantamweight",3,"U-DEC"
2021-02-27,"UFC Fight Night: Rozenstruik vs. Gane","Las Vegas","Nevada","USA","Alex Caceres","Kevin Croom","Featherweight",3,"U-DEC"
2021-02-27,"UFC Fight Night: Rozenstruik vs. Gane","Las Vegas","Nevada","USA","Thiago Moises","Alexander Hernandez","Lightweight",3,"U-DEC"
2021-02-27,"UFC Fight Night: Rozenstruik vs. Gane","Las Vegas","Nevada","USA","Alexis Davis","Sabina Mazo","Women's Bantamweight",3,"U-DEC"
2021-02-27,"UFC Fight Night: Rozenstruik vs. Gane","Las Vegas","Nevada","USA","Ronnie Lawrence","Vince Cachero","Bantamweight",3,"KO/TKO"
2021-02-27,"UFC Fight Night: Rozenstruik vs. Gane","Las Vegas","Nevada","USA","Dustin Jacoby","Maxim Grishin","Light Heavyweight",3,"U-DEC"
2021-02-20,"UFC Fight Night: Blaydes vs. Lewis","Las Vegas","Nevada","USA","Derrick Lewis","Curtis Blaydes","Heavyweight",2,"KO/TKO"
2021-02-20,"UFC Fight Night: Blaydes vs. Lewis","Las Vegas","Nevada","USA","Yana Kunitskaya","Ketlen Vieira","Women's Bantamweight",3,"U-DEC"
2021-02-20,"UFC Fight Night: Blaydes vs. Lewis","Las Vegas","Nevada","USA","Darrick Minner","Charles Rosa","Featherweight",3,"U-DEC"
2021-02-20,"UFC Fight Night: Blaydes vs. Lewis","Las Vegas","Nevada","USA","Chris Daukaus","Aleksei Oleinik","Heavyweight",1,"KO/TKO"
2021-02-20,"UFC Fight Night: Blaydes vs. Lewis","Las Vegas","Nevada","USA","Phil Hawes","Nassourdine Imavov","Middleweight",3,"M-DEC"
2021-02-20,"UFC Fight Night: Blaydes vs. Lewis","Las Vegas","Nevada","USA","Tom Aspinall","Andrei Arlovski","Heavyweight",2,"SUB"
2021-02-20,"UFC Fight Night: Blaydes vs. Lewis","Las Vegas","Nevada","USA","Jared Gordon","Danny Chavez","Featherweight",3,"U-DEC"
2021-02-20,"UFC Fight Night: Blaydes vs. Lewis","Las Vegas","Nevada","USA","John Castaneda","Eddie Wineland","Bantamweight",1,"KO/TKO"
2021-02-20,"UFC Fight Night: Blaydes vs. Lewis","Las Vegas","Nevada","USA","Julian Erosa","Nate Landwehr","Featherweight",1,"KO/TKO"
2021-02-20,"UFC Fight Night: Blaydes vs. Lewis","Las Vegas","Nevada","USA","Casey O'Neill","Shana Dobson","Women's Flyweight",2,"KO/TKO"
2021-02-20,"UFC Fight Night: Blaydes vs. Lewis","Las Vegas","Nevada","USA","Aiemann Zahabi","Drako Rodriguez","Bantamweight",1,"KO/TKO"
2021-02-20,"UFC Fight Night: Blaydes vs. Lewis","Las Vegas","Nevada","USA","Serghei Spivac","Jared Vanderaa","Heavyweight",2,"KO/TKO"
2021-02-13,"UFC 258: Usman vs. Burns","Las Vegas","Nevada","USA","Kamaru Usman","Gilbert Burns","Welterweight",3,"KO/TKO"
2021-02-13,"UFC 258: Usman vs. Burns","Las Vegas","Nevada","USA","Alexa Grasso","Maycee Barber","Women's Flyweight",3,"U-DEC"
2021-02-13,"UFC 258: Usman vs. Burns","Las Vegas","Nevada","USA","Kelvin Gastelum","Ian Heinisch","Middleweight",3,"U-DEC"
2021-02-13,"UFC 258: Usman vs. Burns","Las Vegas","Nevada","USA","Ricky Simon","Brian Kelleher","Featherweight",3,"U-DEC"
2021-02-13,"UFC 258: Usman vs. Burns","Las Vegas","Nevada","USA","Julian Marquez","Maki Pitolo","Middleweight",3,"SUB"
2021-02-13,"UFC 258: Usman vs. Burns","Las Vegas","Nevada","USA","Anthony Hernandez","Rodolfo Vieira","Middleweight",2,"SUB"
2021-02-13,"UFC 258: Usman vs. Burns","Las Vegas","Nevada","USA","Belal Muhammad","Dhiego Lima","Welterweight",3,"U-DEC"
2021-02-13,"UFC 258: Usman vs. Burns","Las Vegas","Nevada","USA","Polyana Viana","Mallory Martin","Women's Strawweight",1,"SUB"
2021-02-13,"UFC 258: Usman vs. Burns","Las Vegas","Nevada","USA","Chris Gutierrez","Andre Ewell","Catch Weight",3,"U-DEC"
2021-02-13,"UFC 258: Usman vs. Burns","Las Vegas","Nevada","USA","Gabe Green","Philip Rowe","Welterweight",3,"U-DEC"
2021-02-06,"UFC Fight Night: Overeem vs. Volkov","Las Vegas","Nevada","USA","Alexander Volkov","Alistair Overeem","Heavyweight",2,"KO/TKO"
2021-02-06,"UFC Fight Night: Overeem vs. Volkov","Las Vegas","Nevada","USA","Cory Sandhagen","Frankie Edgar","Bantamweight",1,"KO/TKO"
2021-02-06,"UFC Fight Night: Overeem vs. Volkov","Las Vegas","Nevada","USA","Clay Guida","Michael Johnson","Lightweight",3,"U-DEC"
2021-02-06,"UFC Fight Night: Overeem vs. Volkov","Las Vegas","Nevada","USA","Alexandre Pantoja","Manel Kape","Flyweight",3,"U-DEC"
2021-02-06,"UFC Fight Night: Overeem vs. Volkov","Las Vegas","Nevada","USA","Beneil Dariush","Diego Ferreira","Lightweight",3,"S-DEC"
2021-02-06,"UFC Fight Night: Overeem vs. Volkov","Las Vegas","Nevada","USA","Danilo Marques","Mike Rodriguez","Light Heavyweight",2,"SUB"
2021-02-06,"UFC Fight Night: Overeem vs. Volkov","Las Vegas","Nevada","USA","Devonte Smith","Justin Jaynes","Catch Weight",2,"KO/TKO"
2021-02-06,"UFC Fight Night: Overeem vs. Volkov","Las Vegas","Nevada","USA","Karol Rosa","Joselyne Edwards","Women's Bantamweight",3,"U-DEC"
2021-02-06,"UFC Fight Night: Overeem vs. Volkov","Las Vegas","Nevada","USA","Lara Procopio","Molly McCann","Women's Flyweight",3,"U-DEC"
2021-02-06,"UFC Fight Night: Overeem vs. Volkov","Las Vegas","Nevada","USA","SeungWoo Choi","Youssef Zalal","Featherweight",3,"U-DEC"
2021-02-06,"UFC Fight Night: Overeem vs. Volkov","Las Vegas","Nevada","USA","Timur Valiev","Martin Day","Featherweight",3,"U-DEC"
2021-02-06,"UFC Fight Night: Overeem vs. Volkov","Las Vegas","Nevada","USA","Ode Osbourne","Jerome Rivera","Featherweight",1,"KO/TKO"
2021-01-23,"UFC 257: Poirier vs. McGregor","Abu Dhabi","Abu Dhabi","United Arab Emirates","Dustin Poirier","Conor McGregor","Lightweight",2,"KO/TKO"
2021-01-23,"UFC 257: Poirier vs. McGregor","Abu Dhabi","Abu Dhabi","United Arab Emirates","Michael Chandler","Dan Hooker","Lightweight",1,"KO/TKO"
