"NAME","Weight","WeightClass","REACH","SLPM","SAPM","STRA","STRD","TD","TDA","TDD","SUBA"
"Tom Aaron",155,"lightweight",72,0,0,0,0,0,0,0,0
"Danny Abbadi",155,"lightweight",72,3.29,4.41,0.38,0.57,0,0,0.77,0
"David Abbott",265,"heavyweight",77,1.35,3.55,0.3,0.38,1.07,0.33,0.66,0
"Shamil Abdurakhimov",235,"heavyweight",76,2.45,2.45,0.44,0.58,1.23,0.24,0.47,0.2
"Hiroyuki Abe",145,"featherweight",70,1.71,3.11,0.36,0.63,0,0,0.33,0
"Daichi Abe",170,"welterweight",71,3.8,4.49,0.33,0.56,0.33,0.5,0,0
"Papy Abedi",185,"middleweight",75,2.8,3.15,0.55,0.48,3.47,0.57,0.5,1.3
"Ricardo Abreu",185,"middleweight",75,3.79,3.98,0.31,0.68,2.13,0.42,1,0.7
"Klidson Abreu",205,"lightheavyweight",74,2.05,2.9,0.4,0.55,0.64,0.2,0.8,0
"Daniel Acacio",180,"middleweight",75,3.52,2.85,0.36,0.62,0.33,0.2,0.81,0
"Scott Adams",225,"heavyweight",77,0,0,0,0,0,0,0,0
"Juan Adams",265,"heavyweight",80,7.09,4.06,0.55,0.34,0.91,0.66,0.57,0
"Anthony Adams",185,"middleweight",76,3.17,5.93,0.41,0.44,0,0,0,0
"Zarrukh Adashev",125,"flyweight",65,1.93,3.35,0.23,0.6,0,0,0,0
"Israel Adesanya",185,"middleweight",80,3.95,2.63,0.49,0.61,0,0,0.82,0.3
"Sam Adkins",225,"heavyweight",77,0,0,0,0,0,0,0,0
"Nick Agallar",155,"lightweight",72,0.69,4.56,0.11,0.42,0,0,0,0
"Mariya Agapova",125,"flyweight",68,3.7,4.15,0.5,0.47,1.23,0.66,0.33,0.6
"Marcelo Aguiar",170,"welterweight",73,0,0,0,0,0,0,0,0
"Fabio Aguiar",185,"middleweight",75,0,0,0,0,0,0,0,0
"Edwin Aguilar",185,"middleweight",75,0,0,0,0,0,0,0,0
"Jessica Aguilar",115,"strawweight",63,4.93,7.19,0.5,0.53,0.94,0.25,0.5,0.2
"Kevin Aguilar",155,"lightweight",73,3.69,4.47,0.37,0.53,0.19,0.25,0.87,0
"Christian Aguilera",170,"welterweight",72,3.35,4.89,0.41,0.46,0,0,0,0
"Mike Aina",155,"lightweight",72,2.87,6.33,0.33,0.59,0,0,0.71,0
"Hitomi Akano",135,"bantamweight",69,0.59,2.58,0.45,0.55,0,0,0.08,0.5
"Omari Akhmedov",185,"middleweight",73,2.95,2.59,0.35,0.57,2.63,0.49,0.65,0.3
"Yoshihiro Akiyama",170,"welterweight",75,3.1,3.62,0.41,0.57,2.29,0.67,0.92,1
"Rostem Akman",170,"welterweight",72,1.8,3.97,0.25,0.57,1,0.4,0.87,0
"Razak Al-Hassan",205,"lightheavyweight",76,3.27,3.14,0.39,0.6,0.65,0.14,0.57,0
"Mostapha Al-Turk",245,"heavyweight",77,1.36,3.61,0.19,0.53,0,0,0,0
"Herdem Alacabek",205,"lightheavyweight",75,3.84,6.66,0.65,0.23,2.06,0.5,0.42,0
