"Events","Fighter1"
"UFC 159 - Jones vs. Sonnen","Betting Tools"
"UFC 159 - Jones vs. Sonnen","Jon Jones"
"UFC 159 - Jones vs. Sonnen","Michael Bisping"
"UFC 159 - Jones vs. Sonnen","Roy Nelson"
"UFC 159 - Jones vs. Sonnen","Phil Davis"
"UFC 159 - Jones vs. Sonnen","Pat Healy"
"UFC 159 - Jones vs. Sonnen","Rustam Khabilov"
"UFC 159 - Jones vs. Sonnen","Ovince St Preux"
"UFC 159 - Jones vs. Sonnen","Sara McMann"
"UFC 159 - Jones vs. Sonnen","Bryan Caraway"
"UFC 159 - Jones vs. Sonnen","Cody McKenzie"
"UFC 159 - Jones vs. Sonnen","Steven Siler"
"UFC on FX 8 - Belfort vs. Rockhold","Betting Tools"
"UFC on FX 8 - Belfort vs. Rockhold","Vitor Belfort"
"UFC on FX 8 - Belfort vs. Rockhold","Ronaldo Souza"
"UFC on FX 8 - Belfort vs. Rockhold","Rafael dos Anjos"
"UFC on FX 8 - Belfort vs. Rockhold","Rafael Natal"
"UFC on FX 8 - Belfort vs. Rockhold","Nik Lentz"
"UFC on FX 8 - Belfort vs. Rockhold","Francisco Trinaldo"
"UFC on FX 8 - Belfort vs. Rockhold","Gleison Tibau"
"UFC on FX 8 - Belfort vs. Rockhold","Paulo Thiago"
"UFC on FX 8 - Belfort vs. Rockhold","Yuri Alcantara"
"UFC on FX 8 - Belfort vs. Rockhold","Fabio Maldonado"
"UFC on FX 8 - Belfort vs. Rockhold","John Lineker"
"UFC on FX 8 - Belfort vs. Rockhold","Jussier Formiga"
"UFC on FX 8 - Belfort vs. Rockhold","Lucas Martins"
"UFC 160 - Velasquez vs. Bigfoot 2","Betting Tools"
"UFC 160 - Velasquez vs. Bigfoot 2","Cain Velasquez"
"UFC 160 - Velasquez vs. Bigfoot 2","Junior dos Santos"
"UFC 160 - Velasquez vs. Bigfoot 2","Glover Teixeira"
"UFC 160 - Velasquez vs. Bigfoot 2","T.J. Grant"
"UFC 160 - Velasquez vs. Bigfoot 2","Donald Cerrone"
"UFC 160 - Velasquez vs. Bigfoot 2","Mike Pyle"
"UFC 160 - Velasquez vs. Bigfoot 2","Dennis Bermudez"
"UFC 160 - Velasquez vs. Bigfoot 2","Robert Whittaker"
"UFC 160 - Velasquez vs. Bigfoot 2","Khabib Nurmagomedov"
"UFC 160 - Velasquez vs. Bigfoot 2","Stephen Thompson"
"UFC 160 - Velasquez vs. Bigfoot 2","George Roop"
"UFC 160 - Velasquez vs. Bigfoot 2","Jeremy Stephens"
"UFC on Fox 8 - Johnson vs. Moraga","Betting Tools"
"UFC on Fox 8 - Johnson vs. Moraga","Demetrious Johnson"
"UFC on Fox 8 - Johnson vs. Moraga","Rory MacDonald"
"UFC on Fox 8 - Johnson vs. Moraga","Robbie Lawler"
"UFC on Fox 8 - Johnson vs. Moraga","Liz Carmouche"
"UFC on Fox 8 - Johnson vs. Moraga","Jorge Masvidal"
"UFC on Fox 8 - Johnson vs. Moraga","Danny Castillo"
"UFC on Fox 8 - Johnson vs. Moraga","Melvin Guillard"
"UFC on Fox 8 - Johnson vs. Moraga","Daron Cruickshank"
"UFC on Fox 8 - Johnson vs. Moraga","Ed Herman"
"UFC on Fox 8 - Johnson vs. Moraga","Germaine de Randamie"
"UFC on Fox 8 - Johnson vs. Moraga","Justin Salas"
"UFC on Fox 8 - Johnson vs. Moraga","Yaotzin Meza"
"UFC 163 - Aldo vs. Korean Zombie","Betting Tools"
"UFC 163 - Aldo vs. Korean Zombie","Jose Aldo"
"UFC 163 - Aldo vs. Korean Zombie","Phil Davis"
"UFC 163 - Aldo vs. Korean Zombie","Cezar Ferreira"
"UFC 163 - Aldo vs. Korean Zombie","Thales Leites"
"UFC 163 - Aldo vs. Korean Zombie","John Lineker"
"UFC 163 - Aldo vs. Korean Zombie","Anthony Perosh"
"UFC 163 - Aldo vs. Korean Zombie","Amanda Nunes"
"UFC 163 - Aldo vs. Korean Zombie","Sergio Moraes"
"UFC 163 - Aldo vs. Korean Zombie","Ian McCall"
"UFC 163 - Aldo vs. Korean Zombie","Rani Yahya"
"UFC 163 - Aldo vs. Korean Zombie","Francimar Barroso"
"UFC 163 - Aldo vs. Korean Zombie","Viscardi Andrade"
"UFC Fight Night 26 - Shogun vs. Sonnen","Betting Tools"
"UFC Fight Night 26 - Shogun vs. Sonnen","Chael Sonnen"
"UFC Fight Night 26 - Shogun vs. Sonnen","Travis Browne"
"UFC Fight Night 26 - Shogun vs. Sonnen","Urijah Faber"
"UFC Fight Night 26 - Shogun vs. Sonnen","Matt Brown"
"UFC Fight Night 26 - Shogun vs. Sonnen","John Howard"
"UFC Fight Night 26 - Shogun vs. Sonnen","Michael Johnson"
"UFC Fight Night 26 - Shogun vs. Sonnen","Michael McDonald"
"UFC Fight Night 26 - Shogun vs. Sonnen","Conor McGregor"
"UFC Fight Night 26 - Shogun vs. Sonnen","Steven Siler"
"UFC Fight Night 26 - Shogun vs. Sonnen","Diego Brandao"
"UFC Fight Night 26 - Shogun vs. Sonnen","Manny Gamburyan"
"UFC Fight Night 26 - Shogun vs. Sonnen","Ovince St Preux"
"UFC Fight Night 26 - Shogun vs. Sonnen","James Vick"
"UFC 167 - St. Pierre vs. Hendricks","Betting Tools"
"UFC 167 - St. Pierre vs. Hendricks","Georges St. Pierre"
"UFC 167 - St. Pierre vs. Hendricks","Rashad Evans"
"UFC 167 - St. Pierre vs. Hendricks","Robbie Lawler"
"UFC 167 - St. Pierre vs. Hendricks","Tyron Woodley"
"UFC 167 - St. Pierre vs. Hendricks","Ali Bagautinov"
"UFC 167 - St. Pierre vs. Hendricks","Donald Cerrone"
"UFC 167 - St. Pierre vs. Hendricks","Thales Leites"
"UFC 167 - St. Pierre vs. Hendricks","Rick Story"
"UFC 167 - St. Pierre vs. Hendricks","Erik Perez"
"UFC 167 - St. Pierre vs. Hendricks","Jason High"
"UFC 167 - St. Pierre vs. Hendricks","Sergio Pettis"
"UFC 167 - St. Pierre vs. Hendricks","Gian Villante"
"UFC - The Ultimate Fighter 18 Finale","Betting Tools"
"UFC - The Ultimate Fighter 18 Finale","Nate Diaz"
"UFC - The Ultimate Fighter 18 Finale","Julianna Pena"
"UFC - The Ultimate Fighter 18 Finale","Chris Holdsworth"
"UFC - The Ultimate Fighter 18 Finale","Jessamyn Duke"
"UFC - The Ultimate Fighter 18 Finale","Raquel Pennington"
"UFC - The Ultimate Fighter 18 Finale","Akira Corassani"
"UFC - The Ultimate Fighter 18 Finale","Tom Niinimaki"
"UFC - The Ultimate Fighter 18 Finale","Jared Rosholt"
"UFC - The Ultimate Fighter 18 Finale","Sean Spencer"
"UFC - The Ultimate Fighter 18 Finale","Josh Sampo"
"UFC Fight Night 33 - Hunt vs. Bigfoot","Betting Tools"
"UFC Fight Night 33 - Hunt vs. Bigfoot","Mark Hunt"
"UFC Fight Night 33 - Hunt vs. Bigfoot","Mauricio Rua"
"UFC Fight Night 33 - Hunt vs. Bigfoot","Ryan Bader"
"UFC Fight Night 33 - Hunt vs. Bigfoot","Soa Palelei"
"UFC Fight Night 33 - Hunt vs. Bigfoot","Clint Hester"
"UFC Fight Night 33 - Hunt vs. Bigfoot","Bethe Correia"
"UFC Fight Night 33 - Hunt vs. Bigfoot","Takeya Mizugaki"
"UFC Fight Night 33 - Hunt vs. Bigfoot","Caio Magalhaes"
"UFC Fight Night 33 - Hunt vs. Bigfoot","Justin Scoggins"
"UFC Fight Night 33 - Hunt vs. Bigfoot","Krzysztof Jotko"
"UFC Fight Night 33 - Hunt vs. Bigfoot","Alex Garcia"
"UFC 168 - Weidman vs. Silva 2","Betting Tools"
"UFC 168 - Weidman vs. Silva 2","Chris Weidman"
"UFC 168 - Weidman vs. Silva 2","Ronda Rousey"
"UFC 168 - Weidman vs. Silva 2","Travis Browne"
"UFC 168 - Weidman vs. Silva 2","Jim Miller"
"UFC 168 - Weidman vs. Silva 2","Dustin Poirier"
"UFC 168 - Weidman vs. Silva 2","Urijah Hall"
"UFC 168 - Weidman vs. Silva 2","Michael Johnson"
"UFC 168 - Weidman vs. Silva 2","Dennis Siver"
"UFC 168 - Weidman vs. Silva 2","John Howard"
"UFC 168 - Weidman vs. Silva 2","William Macario"
"UFC 168 - Weidman vs. Silva 2","Robbie Peralta"
"UFC Fight Night 34 - Saffiedine vs. Lim","Betting Tools"
"UFC Fight Night 34 - Saffiedine vs. Lim","Tarec Saffiedine"
"UFC Fight Night 34 - Saffiedine vs. Lim","Tatsuya Kawajiri"
"UFC Fight Night 34 - Saffiedine vs. Lim","Kiichi Kunimoto"
"UFC Fight Night 34 - Saffiedine vs. Lim","Kyung Ho Kang"
"UFC Fight Night 34 - Saffiedine vs. Lim","Max Holloway"
"UFC Fight Night 34 - Saffiedine vs. Lim","Katsunori Kikuno"
"UFC Fight Night 34 - Saffiedine vs. Lim","Royston Wee"
"UFC Fight Night 34 - Saffiedine vs. Lim","Mairbek Taisumov"
"UFC Fight Night 34 - Saffiedine vs. Lim","Dustin Kimura"
"UFC Fight Night 34 - Saffiedine vs. Lim","Russell Doane"
"UFC on Fox 10 - Henderson vs. Thomson","Betting Tools"
"UFC on Fox 10 - Henderson vs. Thomson","Benson Henderson"
"UFC on Fox 10 - Henderson vs. Thomson","Stipe Miocic"
"UFC on Fox 10 - Henderson vs. Thomson","Donald Cerrone"
"UFC on Fox 10 - Henderson vs. Thomson","Jeremy Stephens"
"UFC on Fox 10 - Henderson vs. Thomson","Alex Caceres"
"UFC on Fox 10 - Henderson vs. Thomson","Eddie Wineland"
"UFC on Fox 10 - Henderson vs. Thomson","Chico Camus"
"UFC on Fox 10 - Henderson vs. Thomson","Hugo Viana"
"UFC on Fox 10 - Henderson vs. Thomson","Daron Cruickshank"
"UFC on Fox 10 - Henderson vs. Thomson","George Sullivan"
