"fighter1_odds","fighter2_odds"
"1.13","9.00"
"1.57","4.50"
"1.43","3.20"
"1.36","3.55"
"3.40","1.40"
"1.54","3.40"
"1.69","2.40"
"1.18","5.80"
"2.15","1.91"
"2.93","1.53"
"1.95","2.06"
"1.95","2.04"
"1.17","6.00"
"1.50","2.91"
"1.36","3.70"
"1.99","2.10"
"1.33","3.90"
"1.42","3.35"
"1.57","2.76"
"1.20","5.50"
"1.38","3.45"
"2.10","1.87"
"1.65","2.55"
"1.33","3.85"
"1.16","6.75"
"1.25","5.25"
"1.33","4.75"
"2.65","1.74"
"1.37","3.48"
"2.50","1.67"
"1.40","3.65"
"2.75","1.71"
"1.40","3.75"
"1.63","2.65"
"3.66","1.36"
"1.60","2.90"
"1.25","4.75"
"1.43","3.14"
"1.29","4.15"
"1.20","5.75"
"1.40","3.55"
"1.50","3.45"
"1.91","2.45"
"1.67","2.75"
"1.57","3.00"
"1.63","2.70"
"1.45","3.20"
"3.30","1.47"
"1.15","8.05"
"1.40","4.05"
"1.22","5.10"
"1.69","2.50"
"1.27","4.55"
"5.35","1.22"
"1.51","3.00"
"1.72","2.51"
"1.22","5.05"
"1.13","9.17"
"2.40","1.83"
"1.57","2.77"
"2.55","1.67"
"2.70","1.67"
"1.47","3.05"
"1.80","2.30"
"5.20","1.22"
"3.60","1.42"
"1.33","4.05"
"1.42","3.85"
"2.90","1.50"
"1.57","3.00"
"1.80","2.31"
"1.31","4.63"
"2.75","1.57"
"1.54","2.85"
"1.50","3.20"
"4.65","1.26"
"1.95","2.30"
"2.50","1.67"
"1.87","2.15"
"1.61","2.71"
"1.49","3.01"
"1.24","4.78"
"1.32","3.90"
"1.26","4.55"
"1.31","4.10"
"2.14","1.83"
"1.36","3.60"
"1.50","2.95"
"1.43","3.25"
"1.26","5.16"
"2.77","1.55"
"2.00","1.95"
"1.45","3.50"
"1.45","3.10"
"1.87","2.05"
"2.70","1.71"
"2.40","1.75"
"1.21","5.65"
"2.60","1.59"
"2.30","1.74"
"2.60","1.61"
"1.33","4.00"
"2.85","1.57"
"1.30","4.10"
"3.15","1.45"
"1.16","6.55"
"2.75","1.58"
"1.17","6.55"
"2.35","1.74"
"1.26","4.76"
"1.46","3.20"
"1.38","3.96"
"1.71","2.35"
"1.35","3.86"
"2.40","1.69"
"2.25","1.77"
"1.61","2.65"
"1.47","3.11"
"1.98","2.30"
"2.45","1.67"
"1.33","3.95"
"1.43","3.46"
"1.61","2.70"
"2.75","1.57"
"1.31","4.20"
"1.36","4.25"
"2.15","1.83"
"1.36","3.80"
"1.40","3.60"
"1.59","2.62"
"1.88","2.15"
"2.90","1.54"
"1.24","5.26"
"1.54","2.80"
"1.31","3.93"
"1.43","3.25"
"3.55","1.40"
"4.55","1.25"
"1.30","4.05"
"1.15","7.01"
"1.26","4.75"
"1.69","2.44"
"2.10","1.87"
"2.40","1.80"
"1.61","2.71"
"2.60","1.83"
"1.67","3.10"
"1.57","2.90"
"1.71","3.20"
"2.65","1.69"
"1.50","3.00"
"1.21","5.50"
"1.09","10.01"
"2.31","1.74"
"1.14","7.38"
"1.43","3.30"
"2.55","1.68"
"1.65","2.55"
"1.48","3.20"
"2.00","2.20"
"3.05","1.48"
"1.95","2.04"
"2.55","1.65"
"4.58","1.30"
"3.95","1.36"
"3.85","1.57"
"3.85","1.32"
"1.56","2.70"
"7.60","1.13"
"2.75","1.54"
"2.27","1.77"
"2.27","1.77"
"3.85","1.36"
"2.85","1.50"
"2.85","1.52"
"1.57","2.81"
"2.45","1.67"
"1.10","9.50"
"2.04","1.99"
"1.40","3.45"
"1.17","7.15"
"1.71","2.51"
"1.16","6.70"
"1.43","3.18"
"1.44","3.17"
"1.32","3.90"
"3.15","1.45"
"1.56","2.81"
"2.62","1.71"
"2.36","1.72"
"1.36","3.75"
"1.24","5.23"
"1.38","3.48"
"2.30","1.87"
"1.35","3.86"
"1.24","4.75"
"1.67","2.50"
"1.74","2.30"
"1.34","3.60"
"1.24","5.05"
"3.20","1.47"
"1.14","9.00"
"1.65","2.80"
"2.25","1.77"
"1.24","5.00"
"1.67","2.53"
"2.25","1.83"
"1.29","4.20"
"1.91","2.21"
"3.10","1.56"
"3.25","1.64"
"4.05","1.34"
"1.36","3.85"
"1.33","3.95"
"2.36","1.69"
"2.75","1.69"
"1.52","2.90"
